"","x"
"216",0.79668269950368
"217",0.918094435887951
"218",1.04294881307843
"219",1.17123481997151
"220",1.30293787879583
"221",1.43803980647138
"222",1.57651878013983
"223",1.71834930695963
"224",1.86350219825392
"225",2.01194454809346
"226",2.16363971639061
"227",2.31854731657464
"228",2.47662320791184
"229",2.63781949252773
"230",2.80208451718211
"231",2.96936287984076
"232",3.1395954410808
"233",3.31271934035999
"234",3.48866801717283
"235",3.6673712371095
"236",3.84875512282634
"237",4.03274218992931
"238",4.21925138776448
"239",4.40819814510253
"240",4.59949442069646
"241",4.7930487586846
"242",4.98876634880363
"243",5.18654909136862
"244",5.38629566697031
"245",5.58790161083175
"246",5.79125939176009
"247",5.99625849562114
"248",6.20278551325799
"249",6.4107242327673
"250",6.6199557360404
"251",6.83035849946913
"252",7.04180849870991
"253",7.25417931739258
"254",7.46734225965455
"255",7.68116646637413
"256",7.8955190349709
"257",8.11026514263509
"258",8.32526817284213
"259",8.54038984500285
"260",8.75549034709462
"261",8.97042847111352
"262",9.18506175118254
"263",9.39924660414646
"264",9.61283847247912
"265",9.82569196932529
"266",10.0376610254946
"267",10.2485990382221
"268",10.4583590215058
"269",10.6667937578295
"270",10.873755951075
"271",11.0790983804271
"272",11.2826740550696
"273",11.4843363694729
"274",11.6839392590674
"275",11.881337356099
"276",12.0763861454612
"277",12.268942120295
"278",12.4588629371533
"279",12.6460075705188
"280",12.8302364664708
"281",13.0114116952949
"282",13.189397102828
"283",13.364058460337
"284",13.5352636127261
"285",13.7028826248735
"286",13.8667879258978
"287",14.0268544511576
"288",14.1829597817912
"289",14.3349842816058
"290",14.4828112311279
"291",14.6263269586325
"292",14.7654209679708
"293",14.8999860630208
"294",15.0299184685894
"295",15.1551179476006
"296",15.2754879144074
"297",15.3909355440715
"298",15.5013718774612
"299",15.6067119220204
"300",15.7068747480722
"301",15.8017835805224
"302",15.8913658858373
"303",15.9755534541759
"304",16.0542824765633
"305",16.1274936169984
"306",16.1951320793988
"307",16.2571476692881
"308",16.3134948501441
"309",16.3641327943287
"310",16.4090254285318
"311",16.4481414736667
"312",16.4814544791633
"313",16.5089428516141
"314",16.5305898777348
"315",16.5463837416087
"316",16.5563175361955
"317",16.5603892690889
"318",16.5586018625182
"319",16.5509631475976
"320",16.537485852833
"321",16.5181875869046
"322",16.493090815755
"323",16.4622228340152
"324",16.4256157308123
"325",16.3833063500113
"326",16.3353362449474
"327",16.2817516277171
"328",16.2226033131016
"329",16.1579466572032
"330",16.0878414908858
"331",16.0123520481127
"332",15.9315468892873
"333",15.8454988197054
"334",15.7542848032363
"335",15.6579858713557
"336",15.5566870276601
"337",15.4504771479983
"338",15.3394488763618
"339",15.2236985166803
"340",15.1033259206764
"341",14.9784343719365
"342",14.8491304663596
"343",14.7155239891542
"344",14.5777277885517
"345",14.4358576464148
"346",14.2900321459199
"347",14.140372536496
"348",13.9870025962079
"349",13.8300484917736
"350",13.669638636406
"351",13.5059035456772
"352",13.3389756915985
"353",13.1689893551174
"354",12.9960804772308
"355",12.8203865089154
"356",12.6420462600774
"357",12.4611997477253
"358",12.277988043567
"359",12.0925531212358
"360",11.9050377033459
"361",11.7155851085818
"362",11.5243390990191
"363",11.3314437278799
"364",11.1370431879169
"365",10.9412816606261
"366",10.7443031664793
"367",10.546251416368
"368",10.3472696644499
"369",10.1475005625803
"370",9.94708601651315
"371",9.74616704404992
"372",9.54488363531116
"373",9.34337461530213
"374",9.14177750893892
"375",8.9402284086976
"376",8.73886184504365
"377",8.53781065979414
"378",8.33720588256019
"379",8.13717661041148
"380",7.93784989089941
"381",7.73935060856939
"382",7.54180137508708
"383",7.3453224230975
"384",7.15003150392923
"385",6.95604378925002
"386",6.76347177677351
"387",6.57242520011009
"388",6.38301094284853
"389",6.19533295694775
"390",6.0094921855118
"391",5.82558649001377
"392",5.64371058202769
"393",5.46395595952012
"394",5.28641084774637
"395",5.11116014478913
"396",4.93828537177013
"397",4.76786462775835
"398",4.5999725493914
"399",4.43468027521955
"400",4.2720554147747
"401",4.11216202236004
"402",3.95506057554877
"403",3.80080795837371
"404",3.64945744918308
"405",3.50105871313028
"406",3.35565779925997
"407",3.21329714214556
"408",3.07401556802721
"409",2.93784830539319
"410",2.80482699994122
"411",2.67497973385103
"412",2.548331049293
"413",2.42490197609243
"414",2.30471006346381
"415",2.18776941572389
"416",2.07409073188746
"417",1.96368134904501
"418",1.85654528941653
"419",1.7526833109718
"420",1.65209296150261
"421",1.55476863602904
"422",1.46070163741766
"423",1.36988024008641
"424",1.28228975666718
"425",1.19791260749443
"426",1.11672839278511
"427",1.03871396737279
"428",0.963843517856345
"429",0.892088642021602
"430",0.82341843039251
"431",0.757799549766826
"432",0.695196328589813
"433",0.63557084401865
"434",0.578883010529141
"435",0.525090669915894
"436",0.474149682536758
"437",0.426014019652208
"438",0.38063585671052
"439",0.337965667429986
"440",0.297952318530056
"441",0.260543164964157
"442",0.225684145508022
"443",0.19331987855875
"444",0.16339375800127
"445",0.135848049000767
"446",0.110623983581534
"447",0.0876618558549127
"448",0.0669011167614258
"449",0.0482804681947288
"450",0.0317379563778443
"451",0.0172110643650298
"452",0.00463680354587897
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0.00707519401956149
"468",0.0171248135464522
"469",0.0280656851003974
"470",0.0398401984413261
"471",0.0523916842327028
"472",0.0656644657073467
"473",0.0796039076923928
"474",0.0941564629668106
"475",0.109269715929641
"476",0.12489242356209
"477",0.140974553671267
"478",0.157467320408173
"479",0.174323217057248
"480",0.191496046099354
"481",0.208940946554686
"482",0.226614418616531
"483",0.244474345591246
"484",0.26248001316405
"485",0.280592126014497
"486",0.298772821809601
"487",0.316985682606455
"488",0.335195743700207
"489",0.353369499956915
"490",0.371474909674437
"491",0.389481396017967
"492",0.407359846080286
"493",0.425082607619822
"494",0.442623483532875
"495",0.45995772411909
"496",0.477062017202139
"497",0.493914476170145
"498",0.510494626002763
"499",0.52678338735422
"500",0.542763058763605
"501",0.558417297065786
"502",0.573731096077999
"503",0.588690763638857
"504",0.603283897077891
"505",0.617499357195136
"506",0.631327240831258
"507",0.644758852109746
"508",0.657786672433444
"509",0.670404329318305
"510",0.68260656414772
"511",0.694389198930982
"512",0.705749102149698
